GEO_ID,COUNTY,STATE,POPULATION,AGE15_19,AGE20_24,AGE25_29,AGE30_34,AGE55_59,AGE60_64,TOTAL_MALE,TOTAL_FEMALE,PERCENT_FEMALE,PERCENT_MALE,AGEUNDER15,AGE35_44,AGE45_54,AGE65_74,AGE_75OVER,PERCENT_TOTALPOP,INCOME_PERCAPITA,WORKERS 16 YEARS AND OVER,"CAR, TRUCK, OR VAN","WORKERS PER CAR, TRUCK, OR VAN",PUBLIC TRANSPORTATION (EXCLUDING TAXICAB),WALKED,BICYCLE,"TAXICAB, MOTORCYCLE, OR OTHER MEANS",WORKED AT HOME,WORKED OUTSIDE COUNTY OF RESIDENCE,WORKED OUTSIDE STATE OF RESIDENCE,WORKERS 16 YEARS AND OVER WHO DID NOT WORK AT HOME,LESS THAN 10 MINUTES,10 TO 14 MINUTES,15 TO 19 MINUTES,20 TO 24 MINUTES,25 TO 29 MINUTES,30 TO 34 MINUTES,35 TO 44 MINUTES,45 TO 59 MINUTES,60 OR MORE MINUTES,MEAN TRAVEL TIME TO WORK (MINUTES),LESS THAN HIGH SCHOOL GRADUATE,HIGH SCHOOL GRADUATE (INCLUDES EQUIVALENCY),SOME COLLEGE OR ASSOCIATE'S DEGREE,BACHELOR'S DEGREE,GRADUATE OR PROFESSIONAL DEGREE,"$1 TO $9,999 OR LOSS","$10,000 TO $14,999","$15,000 TO $24,999","$25,000 TO $34,999","$35,000 TO $49,999","$50,000 TO $64,999","$65,000 TO $74,999","$75,000 OR MORE",MEDIAN INCOME (DOLLARS),BELOW 100 PERCENT OF THE POVERTY LEVEL,100 TO 149 PERCENT OF THE POVERTY LEVEL,AT OR ABOVE 150 PERCENT OF THE POVERTY LEVEL,HOUSEHOLDER LIVED IN OWNER-OCCUPIED HOUSING UNITS,HOUSEHOLDER LIVED IN RENTER-OCCUPIED HOUSING UNITS,LABOR_FORCE_PARTICIPATION_RATE,LAB_16-19,LAB_20-24,LAB_25-29,LAB_30-34,LAB_35-44,LAB_45-54,LAB_55-59,LAB_60-64,LAB_65-74,LAB_OVER75,EMPLOYMENT/POPULATION_RATIO,EMP_16-19,EMP_20-24,EMP_25-29,EMP_30-34,EMP_35-44,EMP_45-54,EMP_55-59,EMP_60-64,EMP_65-74,EMP_OVER75,UNEMPLOYMENT_RATE,UNEMP_16-19,UNEMP_20-24,UNEMP_25-29,UNEMP_30-34,UNEMP_35-44,UNEMP_45-54,UNEMP_55-59,UNEMP_60-64,UNEMP_65-74,UNEMP_OVER75,PERCENT WITH PRIVATE HEALTH INSURANCE,PERCENT NO PRIVATE HEALTH INSURANCE,PERCENT WITH PUBLIC HEALTH INSURANCE,PERCENT NO PUBLIC HEALTH INSURANCE,PERCENT MISSING HEALTH,LAND AREA(SQMI),INFECTION RATE,POP DENSITY
0500000US01001,Autauga County,Alabama,55200.0,7.0,6.0,6.6,6.2,7.5,4.9,26874.0,28326.0,51.315217391304294,48.6847826086956,19.699999999999896,13.3,14.2,8.5,6.1,0.0170949154611525,29372.0,24428.0,95.2,1.05,0.1,0.6,0.1,1.3,2.8,64.5,0.6,23753.0,12.8,10.5,14.2,13.8,9.5,20.0,7.4,6.0,5.7,25.8,4204.0,12119.0,10552.0,5903.0,4388.0,6339.0,4126.0,6267.0,4398.0,5708.0,3744.0,1436.0,5779.0,29667.0,8276.0,4579.0,41219.0,40538.0,13425.0,59.3,31.9,70.8,83.0,81.9,78.9,74.9,66.2,52.1,15.1,2.5,55.6,27.4,61.7,77.0,76.2,72.1,72.7,65.3,50.4,14.8,2.5,4.2,14.2,12.7,3.6,3.7,3.6,2.4,1.4,3.2,1.5,0.0,64.15036231884051,34.1503623188405,37.731884057971,60.568840579710105,26.865671641791,598.73,0.034420289855072464,92.19514639319894
0500000US01003,Baldwin County,Alabama,208107.0,6.1,5.2,5.7,5.5,6.9,7.1,101188.0,106919.0,51.376935903165204,48.62306409683471,18.2,12.2,13.6,11.8,7.69999999999999,0.0644487603600375,31203.0,91420.0,91.7,1.05,0.1,0.7,0.1,1.3,6.1,20.6,6.0,85813.0,10.6,13.2,14.1,13.4,6.6,17.3,7.0,9.9,7.9,27.4,14310.0,40579.0,46025.0,30431.0,15644.0,24827.0,15759.0,25871.0,22030.0,21975.0,14480.0,5535.0,20333.0,28632.0,21239.0,16032.0,165641.0,152375.0,50637.0,58.5,39.1,77.1,81.3,78.8,81.3,80.5,69.3,48.8,22.6,5.6,55.7,33.8,69.6,73.5,76.7,78.8,76.9,68.3,47.8,21.9,5.4,4.4,13.5,9.7,8.6,2.2,2.4,4.4,1.4,2.0,3.2,2.6,72.48002229622259,28.5372428606438,35.5100981706526,65.5071669862138,26.865671641791,1737.68,0.03171445458345947,119.76140601261451
0500000US01005,Barbour County,Alabama,25782.0,5.6,6.4,7.2,7.0,6.4,6.4,13697.0,12085.0,46.8737879140485,53.126212085951394,17.6,12.0,13.4,11.0,7.0,0.00798444040614917,18461.0,8538.0,94.2,1.07,0.3,2.1,0.0,2.1,1.3,20.9,4.7,8427.0,25.4,16.0,12.6,10.9,4.7,10.8,3.4,8.1,8.0,22.7,4901.0,6486.0,4566.0,1417.0,803.0,4808.0,2734.0,3283.0,2178.0,1809.0,1089.0,343.0,1155.0,18138.0,6332.0,2690.0,13521.0,13662.0,8907.0,46.0,22.4,57.2,72.0,48.3,54.4,59.7,51.7,44.6,27.1,6.6,41.6,16.3,50.4,57.4,41.5,49.3,56.4,49.9,44.1,26.2,6.0,9.5,27.2,11.9,20.3,14.1,9.4,5.4,3.4,1.2,3.0,9.2,40.745481343573,45.8575750523621,49.1699635404545,37.4330928554805,26.865671641791,891.3,0.03490807540144287,28.926287445304613
0500000US01007,Bibb County,Alabama,22527.0,6.7,6.6,6.9,6.7,6.6,5.4,12152.0,10375.0,46.055844098193205,53.94415590180671,16.6999999999999,12.9,15.2,9.4,6.9,0.00697639783683665,20199.0,7946.0,95.5,1.06,0.5,0.6,0.0,0.9,2.6,64.3,0.5,7738.0,10.4,14.1,10.3,8.5,5.0,12.1,14.5,16.2,8.9,29.2,2650.0,7471.0,3846.0,1197.0,616.0,2983.0,1886.0,3235.0,1902.0,1605.0,1047.0,704.0,1046.0,22298.0,2782.0,2347.0,14924.0,15370.0,4651.0,47.4,16.9,58.4,56.6,58.1,64.5,61.1,56.2,52.1,18.0,6.5,43.8,11.8,47.2,51.6,48.4,61.3,58.8,55.8,51.1,17.2,6.5,7.5,30.0,19.1,8.8,16.8,5.0,3.7,0.6,1.9,4.5,0.0,55.4401385004661,35.4951835575087,39.8366404758734,51.0986815821014,26.865671641791,624.1,0.0577085275447241,36.09517705495914
0500000US01009,Blount County,Alabama,57645.0,6.4,5.5,5.9,5.9,6.8,6.3,28434.0,29211.0,50.673952641165705,49.3260473588342,19.2,12.4,13.8,10.7,7.1,0.0178521087275024,22656.0,21148.0,96.6,1.06,0.1,0.2,0.0,0.8,2.3,67.0,0.6,20671.0,11.9,7.7,6.7,8.7,4.5,12.5,8.6,21.4,18.0,35.1,7861.0,13489.0,13267.0,3217.0,1793.0,6275.0,4113.0,6795.0,5630.0,5206.0,3861.0,1555.0,3082.0,26509.0,8084.0,6249.0,42291.0,45751.0,10850.0,48.6,18.5,58.7,81.2,59.0,71.9,63.9,63.0,39.3,14.9,2.3,46.5,14.5,53.7,78.4,57.6,68.6,61.9,61.0,38.1,14.5,2.3,4.1,21.5,8.6,2.9,2.3,4.2,3.1,2.5,3.0,2.4,0.0,66.657992887501,33.015873015873,36.3084395871281,63.365426316246,26.865671641791,646.77,0.020817069997397866,89.1275105524375
0500000US01011,Bullock County,Alabama,10352.0,7.5,6.8,6.8,4.0,5.7,8.2,5663.0,4689.0,45.29559505409579,54.7044049459041,17.0999999999999,15.4,12.8,9.8,5.9,0.00320591602996106,20346.0,3940.0,91.4,1.09,0.0,5.8,0.0,0.0,2.7,43.7,0.0,3832.0,19.9,18.1,8.8,7.6,1.3,8.4,9.9,13.2,12.8,28.6,1760.0,2817.0,1582.0,526.0,419.0,2043.0,963.0,962.0,1221.0,817.0,375.0,215.0,485.0,21020.0,3091.0,916.0,5883.0,7361.0,2542.0,52.7,20.2,56.9,69.8,78.9,60.9,68.0,78.8,55.7,19.5,12.1,46.8,16.4,36.4,69.1,28.5,59.7,62.7,77.4,55.7,18.7,12.1,11.1,18.9,36.1,1.0,63.9,2.1,7.8,1.7,0.0,4.1,0.0,42.9339902468453,29.2192448846211,29.450505253632198,42.7027298778341,26.865671641791,624.98,0.03863987635239567,16.56373003936126
0500000US01013,Butler County,Alabama,20025.0,6.5,5.4,6.2,5.9,7.3,6.8,9368.0,10657.0,53.218476903870105,46.781523096129796,18.7,12.0,12.1,10.4,8.7,0.00620155221213006,20430.0,7769.0,96.3,1.08,0.0,0.9,0.0,1.2,1.6,22.2,2.3,7647.0,16.2,17.0,15.4,15.0,2.9,13.3,2.9,10.6,6.7,24.0,2141.0,6091.0,3421.0,1344.0,891.0,3095.0,2192.0,2900.0,2032.0,1740.0,945.0,331.0,773.0,19627.0,4569.0,2842.0,12140.0,13484.0,6063.0,53.0,37.4,65.8,85.2,80.8,84.0,69.9,45.4,42.0,15.1,5.9,49.4,31.1,58.9,78.8,72.3,79.7,65.6,43.8,40.3,14.8,5.9,6.7,16.7,10.5,6.9,10.1,5.2,6.1,3.6,4.2,1.6,0.0,57.5349251956801,36.8819974239572,45.6900822352125,48.726840384424804,26.865671641791,777.61,0.0299625468164794,25.75198364218567
0500000US01015,Calhoun County,Alabama,115098.0,6.8,6.6,7.0,6.1,6.8,7.0,55315.0,59783.0,51.9409546647205,48.0590453352795,17.8,12.0,13.0,10.0,6.9,0.0356447568794879,24706.0,47147.0,94.4,1.06,0.3,1.2,0.0,1.0,3.1,21.8,2.5,45708.0,14.7,14.0,16.8,15.6,5.8,14.2,5.0,6.5,7.4,25.0,12620.0,25653.0,26643.0,8060.0,6159.0,16908.0,10838.0,15810.0,10309.0,10978.0,7794.0,2804.0,7102.0,23036.0,20260.0,12615.0,77484.0,76623.0,33734.0,57.1,32.6,74.2,83.6,82.9,76.6,74.8,58.5,47.4,18.3,7.0,51.8,22.5,64.6,69.6,70.3,72.1,71.3,55.7,45.8,18.0,6.7,8.8,31.2,11.2,15.5,14.7,5.4,4.7,4.7,3.4,1.8,3.8,64.4468192323063,33.759057498827,39.6879181219482,58.5179586091852,26.865671641791,609.74,0.04952301516968149,188.76570341457014
0500000US01017,Chambers County,Alabama,33826.0,5.8,7.5,5.4,5.5,7.8,6.5,16257.0,17569.0,51.9393366049784,48.06066339502149,17.1,11.7,13.7,11.2,7.8,0.0104755907679156,22827.0,14396.0,96.7,1.07,0.2,0.6,0.0,0.7,1.8,26.8,31.8,14138.0,11.6,13.4,21.3,16.2,5.2,16.0,4.5,6.2,5.6,23.6,4383.0,9060.0,7003.0,2200.0,918.0,4722.0,3631.0,5483.0,3422.0,3543.0,1589.0,605.0,1669.0,22015.0,5431.0,4833.0,22742.0,22402.0,10644.0,56.3,34.5,76.1,88.7,84.5,79.7,73.2,62.6,42.5,15.8,6.0,53.5,29.3,66.6,84.5,76.2,79.3,70.4,61.4,41.2,15.3,6.0,5.0,15.2,12.5,4.7,9.2,0.6,3.9,1.9,3.1,3.5,0.0,56.7758528942233,41.5627032460237,41.403062732809,56.935493407438,26.865671641791,598.84,0.5350913498492285,56.48587268719524
0500000US01019,Cherokee County,Alabama,25853.0,6.2,5.3,5.6,4.2,7.9,7.4,12820.0,13033.0,50.411944455188895,49.588055544811,16.3,11.2,14.1,13.3,8.5,0.00800642843147058,23356.0,9671.0,96.5,1.08,0.2,0.3,0.0,1.2,1.7,24.6,29.5,9502.0,14.3,12.6,12.0,7.6,4.4,18.2,8.5,13.6,8.8,28.1,3692.0,7157.0,5417.0,1273.0,1134.0,3667.0,2550.0,3826.0,2732.0,2510.0,1819.0,438.0,1141.0,22353.0,3800.0,3484.0,17957.0,20234.0,5064.0,48.6,25.8,69.3,85.5,79.0,76.0,71.0,54.1,33.2,12.1,1.9,45.9,20.6,56.3,78.9,78.5,73.1,69.1,52.0,32.4,11.5,1.9,5.6,20.1,18.9,7.7,0.7,3.8,2.6,4.0,2.2,5.3,0.0,66.0697017754225,38.599002050052206,51.483386840985496,53.185316984489205,26.865671641791,568.88,0.027076161373921787,45.445436647447615
0500000US01021,Chilton County,Alabama,43930.0,6.4,5.9,6.7,6.5,6.9,6.2,21672.0,22258.0,50.666970179831495,49.3330298201684,19.8,12.8,12.9,9.5,6.4,0.0136047035545005,24611.0,17207.0,96.1,1.08,0.0,0.4,0.0,1.0,2.5,52.6,1.6,16778.0,10.2,10.2,11.6,11.5,4.2,10.8,6.8,17.1,17.7,33.2,5302.0,13125.0,7147.0,2728.0,1491.0,6059.0,3822.0,4926.0,4274.0,3667.0,2623.0,722.0,3247.0,24600.0,7912.0,5508.0,29394.0,32384.0,10697.0,54.6,30.9,68.4,74.2,67.0,75.0,71.7,58.2,46.0,19.9,6.6,50.7,26.1,57.9,68.2,63.5,70.0,66.1,56.0,45.4,19.9,6.6,7.1,15.5,15.4,8.2,5.3,6.6,7.9,3.7,1.4,0.0,0.0,62.73389483268829,36.7857955838834,41.2155702253585,58.30412019121321,26.865671641791,696.16,0.06829046209879354,63.10330958400368
0500000US01023,Choctaw County,Alabama,13075.0,6.2,5.3,5.3,4.9,8.2,6.9,6253.0,6822.0,52.17590822179729,47.8240917782026,16.2999999999999,11.0,13.8,12.6,9.5,0.00404920325461176,22182.0,4128.0,95.1,1.09,0.0,1.5,0.1,1.5,1.8,12.3,27.4,4052.0,14.7,7.7,15.6,10.1,4.8,13.0,7.9,10.3,16.0,32.2,1754.0,3606.0,2851.0,770.0,455.0,2212.0,1646.0,1539.0,1180.0,1187.0,561.0,241.0,793.0,20616.0,2840.0,1505.0,8413.0,10211.0,2564.0,44.1,26.1,68.4,78.1,71.1,65.7,57.1,45.7,40.7,14.5,4.0,39.5,23.1,28.1,71.6,57.8,61.2,57.0,45.3,40.7,14.3,4.0,10.6,11.4,58.9,8.4,18.8,6.8,0.2,0.8,0.0,1.3,0.0,70.9824708722577,35.682796263251795,45.538994436863604,61.1262726986459,26.865671641791,915.3,0.06118546845124283,14.284933901453076
0500000US01025,Clarke County,Alabama,24387.0,6.6,6.5,5.6,5.0,8.0,6.0,11539.0,12848.0,52.6838069463238,47.3161930536761,17.7,12.0,13.6,10.6,8.4,0.00755242216215809,21111.0,7529.0,97.5,1.06,0.1,0.7,0.1,0.6,1.0,22.9,3.6,7455.0,21.2,17.2,14.1,8.9,2.3,11.4,6.1,7.6,11.3,24.4,3175.0,7372.0,4205.0,1342.0,776.0,3908.0,2168.0,2480.0,1665.0,2135.0,1144.0,407.0,1505.0,20939.0,6048.0,2657.0,15108.0,17142.0,6708.0,45.2,27.7,52.8,66.9,65.9,66.4,61.3,50.4,33.5,17.1,6.6,38.7,14.0,38.4,58.1,51.7,59.2,54.4,45.1,33.5,16.3,5.6,14.4,49.6,26.3,13.2,21.6,11.0,11.4,10.6,0.0,5.0,15.6,48.5996637552794,50.1004633616271,50.4367080821749,48.2634190347316,26.865671641791,1241.77,0.06150818058801821,19.638902534285737
0500000US01027,Clay County,Alabama,13378.0,6.7,6.6,4.6,4.3,8.4,6.2,6464.0,6914.0,51.68186574973829,48.3181342502616,17.3999999999999,12.4,13.6,11.5,8.3,0.00414303947534961,23147.0,5427.0,95.4,1.03,0.0,0.7,0.0,0.6,3.3,30.7,4.5,5250.0,18.5,13.3,15.8,14.8,1.5,8.7,3.5,8.1,15.9,29.0,2275.0,3366.0,2700.0,510.0,434.0,2310.0,1493.0,1562.0,1463.0,1238.0,763.0,237.0,707.0,22090.0,2347.0,1598.0,9013.0,9574.0,3448.0,54.6,59.5,75.6,87.8,64.4,72.4,78.7,61.9,38.6,16.6,2.6,51.1,47.0,67.3,66.8,63.7,69.5,77.4,61.2,38.6,16.1,2.6,6.4,20.9,10.9,23.9,1.1,4.0,1.7,1.1,0.0,2.7,0.0,87.0253548465364,38.8632779327914,55.2954021594079,70.59323061991991,26.865671641791,605.21,0.08969950665271341,22.104723980106076
0500000US01029,Cleburne County,Alabama,14938.0,6.0,5.1,5.7,5.7,6.5,6.9,7281.0,7657.0,51.2585352791538,48.7414647208461,19.0,12.2,14.1,10.8,8.0,0.00462615665142566,21989.0,5355.0,95.8,1.08,0.0,0.7,0.0,0.1,3.3,26.9,42.2,5177.0,10.9,8.2,9.7,11.9,6.5,15.7,11.6,12.0,13.6,33.0,2364.0,4135.0,2518.0,927.0,501.0,2386.0,1408.0,2143.0,1359.0,1307.0,929.0,263.0,724.0,20988.0,2690.0,1410.0,10489.0,11257.0,3442.0,51.6,50.6,72.5,79.6,75.8,75.3,66.9,54.9,35.7,10.3,4.6,47.5,37.5,62.6,72.3,67.2,70.4,63.6,52.2,35.7,10.3,4.6,7.5,25.8,13.6,9.1,8.3,6.6,4.9,4.9,0.0,0.0,0.0,66.7533277870216,33.9642262895174,45.5594841930116,55.1580698835274,26.865671641791,560.54,0.0803320390949257,26.64930245834374
