,COUNTY,STATE,5/17/20,POPULATION,infection_rate
0,Autauga County,Alabama,110,55200.0,0.0019927536231884057
1,Baldwin County,Alabama,254,208107.0,0.0012205259794240463
2,Barbour County,Alabama,81,25782.0,0.003141726786129858
3,Bibb County,Alabama,50,22527.0,0.002219558751720158
4,Blount County,Alabama,46,57645.0,0.0007979876832335848
5,Bullock County,Alabama,35,10352.0,0.003380989180834621
6,Butler County,Alabama,272,20025.0,0.013583021223470661
7,Calhoun County,Alabama,130,115098.0,0.0011294722757997533
8,Chambers County,Alabama,328,33826.0,0.009696683024892095
9,Cherokee County,Alabama,27,25853.0,0.0010443662244226976
10,Chilton County,Alabama,77,43930.0,0.0017527885272023674
11,Choctaw County,Alabama,84,13075.0,0.006424474187380497
12,Clarke County,Alabama,74,24387.0,0.0030344035756755647
13,Clay County,Alabama,27,13378.0,0.0020182388996860517
14,Cleburne County,Alabama,13,14938.0,0.000870263756861695
15,Coffee County,Alabama,166,51288.0,0.0032366245515520198
16,Colbert County,Alabama,91,54495.0,0.0016698779704560052
17,Conecuh County,Alabama,18,12514.0,0.001438389004315167
18,Coosa County,Alabama,34,10855.0,0.0031321971441731922
19,Covington County,Alabama,57,37351.0,0.0015260635592085888
20,Crenshaw County,Alabama,53,13865.0,0.0038225748287053734
21,Cullman County,Alabama,69,82313.0,0.0008382637007520075
22,Dale County,Alabama,60,49255.0,0.001218150441579535
23,Dallas County,Alabama,146,40029.0,0.0036473556671413223
24,DeKalb County,Alabama,192,71200.0,0.002696629213483146
25,Elmore County,Alabama,192,81212.0,0.0023641826331084075
26,Escambia County,Alabama,39,37328.0,0.0010447921131590226
27,Etowah County,Alabama,204,102939.0,0.001981756185702212
28,Fayette County,Alabama,9,16585.0,0.0005426590292432922
29,Franklin County,Alabama,334,31542.0,0.010589055862025236
30,Geneva County,Alabama,20,26491.0,0.0007549733871881016
31,Greene County,Alabama,81,8426.0,0.009613102302397342
32,Hale County,Alabama,85,14887.0,0.005709679586216162
33,Henry County,Alabama,39,17124.0,0.0022775052557813596
34,Houston County,Alabama,132,104352.0,0.001264949402023919
35,Jackson County,Alabama,63,52094.0,0.001209352324643913
36,Jefferson County,Alabama,1333,659892.0,0.0020200275196547313
37,Lamar County,Alabama,15,13933.0,0.0010765807794444844
38,Lauderdale County,Alabama,113,92585.0,0.0012205000810066426
39,Lawrence County,Alabama,29,33171.0,0.000874257634680896
40,Lee County,Alabama,449,159287.0,0.0028188113279803122
41,Limestone County,Alabama,64,93052.0,0.0006877874736706357
42,Lowndes County,Alabama,128,10236.0,0.012504884720593983
43,Macon County,Alabama,55,19054.0,0.002886533011441167
44,Madison County,Alabama,275,357560.0,0.0007691016892269829
45,Marengo County,Alabama,103,19538.0,0.005271778073497799
46,Marion County,Alabama,101,29965.0,0.003370599032204238
47,Marshall County,Alabama,624,95145.0,0.006558410846602554
48,Mobile County,Alabama,1701,414659.0,0.004102165876057194
49,Monroe County,Alabama,20,21512.0,0.0009297136481963555
50,Montgomery County,Alabama,823,226941.0,0.0036264932295178042
51,Morgan County,Alabama,111,119122.0,0.0009318178002384111
52,Perry County,Alabama,20,9486.0,0.002108370229812355
53,Pickens County,Alabama,78,20298.0,0.0038427431274017146
54,Pike County,Alabama,106,33403.0,0.0031733676615872826
55,Randolph County,Alabama,120,22574.0,0.005315850093027377
56,Russell County,Alabama,100,58213.0,0.0017178293508322883
57,St. Clair County,Alabama,90,87306.0,0.0010308569857741736
58,Shelby County,Alabama,399,211261.0,0.0018886590520730282
59,Sumter County,Alabama,127,12985.0,0.009780515979976897
60,Talladega County,Alabama,78,80565.0,0.000968162353379259
61,Tallapoosa County,Alabama,358,40636.0,0.008809922236440594
62,Tuscaloosa County,Alabama,345,206213.0,0.0016730274037039371
63,Walker County,Alabama,126,64493.0,0.0019537004015939712
64,Washington County,Alabama,60,16643.0,0.003605119269362495
65,Wilcox County,Alabama,94,10809.0,0.008696456656489961
66,Winston County,Alabama,34,23875.0,0.0014240837696335078
67,Aleutians East Borough,Alaska,0,3425.0,0.0
68,Aleutians West Census Area,Alaska,0,5750.0,0.0
69,Anchorage Municipality,Alaska,199,296112.0,0.0006720430107526882
70,Bethel Census Area,Alaska,1,18040.0,5.543237250554324e-05
71,Bristol Bay Borough,Alaska,0,890.0,0.0
72,Denali Borough,Alaska,0,2232.0,0.0
73,Dillingham Census Area,Alaska,0,4975.0,0.0
74,Fairbanks North Star Borough,Alaska,84,99653.0,0.0008429249495750254
75,Haines Borough,Alaska,0,2518.0,0.0
76,Hoonah-Angoon Census Area,Alaska,0,2132.0,0.0
77,Juneau City and Borough,Alaska,29,32330.0,0.0008969996906897618
78,Kenai Peninsula Borough,Alaska,24,58220.0,0.00041222947440742015
79,Ketchikan Gateway Borough,Alaska,16,13804.0,0.0011590843233845263
80,Kodiak Island Borough,Alaska,1,13649.0,7.326544069162575e-05
81,Kusilvak Census Area,Alaska,0,8198.0,0.0
82,Lake and Peninsula Borough,Alaska,0,1375.0,0.0
83,Matanuska-Susitna Borough,Alaska,21,103464.0,0.0002029691486893992
84,Nome Census Area,Alaska,1,9925.0,0.00010075566750629723
85,North Slope Borough,Alaska,0,9797.0,0.0
86,Northwest Arctic Borough,Alaska,0,7734.0,0.0
87,Petersburg Borough,Alaska,4,3255.0,0.001228878648233487
88,Prince of Wales-Hyder Census Area,Alaska,2,6474.0,0.00030892801977139327
89,Sitka City and Borough,Alaska,1,8738.0,0.00011444266422522316
90,Skagway Municipality,Alaska,0,1061.0,0.0
91,Southeast Fairbanks Census Area,Alaska,3,6876.0,0.0004363001745200698
92,Valdez-Cordova Census Area,Alaska,0,9301.0,0.0
93,Wrangell City and Borough,Alaska,0,2484.0,0.0
94,Yakutat City and Borough,Alaska,0,689.0,0.0
95,Yukon-Koyukuk Census Area,Alaska,1,5415.0,0.00018467220683287164
96,Apache County,Arizona,981,71522.0,0.01371605939431224
97,Cochise County,Arizona,46,126279.0,0.00036427276110833945
98,Coconino County,Arizona,866,140217.0,0.0061761412667508215
99,Gila County,Arizona,22,53400.0,0.00041198501872659175
100,Graham County,Arizona,20,37879.0,0.000527997043216558
101,Greenlee County,Arizona,2,9504.0,0.00021043771043771043
102,La Paz County,Arizona,38,20701.0,0.0018356601130380176
103,Maricopa County,Arizona,7240,4253913.0,0.0017019624049669092
104,Mohave County,Arizona,250,206064.0,0.0012132153117478065
105,Navajo County,Arizona,1273,108705.0,0.011710592889011546
106,Pima County,Arizona,1814,1019722.0,0.001778916214419224
107,Pinal County,Arizona,693,419721.0,0.0016510968000171542
108,Santa Cruz County,Arizona,75,46584.0,0.0016099948480164863
109,Yavapai County,Arizona,262,224645.0,0.001166284582341027
110,Yuma County,Arizona,363,207829.0,0.0017466282376376733
111,Arkansas County,Arkansas,2,18124.0,0.00011035091591260208
112,Ashley County,Arkansas,18,20537.0,0.0008764668646832546
113,Baxter County,Arkansas,6,41219.0,0.00014556393896018825
114,Benton County,Arkansas,149,258980.0,0.0005753340026256854
115,Boone County,Arkansas,4,37288.0,0.00010727311735679038
116,Bradley County,Arkansas,15,10948.0,0.001370113262696383
117,Calhoun County,Arkansas,0,5202.0,0.0
118,Carroll County,Arkansas,5,27887.0,0.0001792950120127658
119,Chicot County,Arkansas,10,10826.0,0.0009237021984112322
120,Clark County,Arkansas,35,22385.0,0.0015635470180924726
121,Clay County,Arkansas,3,15061.0,0.00019918996082597437
122,Cleburne County,Arkansas,72,25230.0,0.002853745541022592
123,Cleveland County,Arkansas,16,8226.0,0.0019450522732798443
124,Columbia County,Arkansas,15,23892.0,0.0006278252134605726
125,Conway County,Arkansas,14,20906.0,0.0006696642112312255
126,Craighead County,Arkansas,140,105701.0,0.0013244907805981022
127,Crawford County,Arkansas,11,62472.0,0.00017607888333973621
128,Crittenden County,Arkansas,234,49013.0,0.0047742435680329705
129,Cross County,Arkansas,35,16998.0,0.002059065772443817
130,Dallas County,Arkansas,1,7432.0,0.00013455328310010763
131,Desha County,Arkansas,18,11887.0,0.0015142592748380583
132,Drew County,Arkansas,19,18502.0,0.0010269160090800994
133,Faulkner County,Arkansas,93,122416.0,0.000759704613775977
134,Franklin County,Arkansas,2,17780.0,0.0001124859392575928
135,Fulton County,Arkansas,4,12139.0,0.0003295164346321773
136,Garland County,Arkansas,129,98296.0,0.001312362659721657
137,Grant County,Arkansas,16,18086.0,0.0008846621696339711
138,Greene County,Arkansas,24,44623.0,0.0005378392308898998
139,Hempstead County,Arkansas,9,22018.0,0.000408756471977473
140,Hot Spring County,Arkansas,29,33520.0,0.0008651551312649165
141,Howard County,Arkansas,14,13389.0,0.0010456344760624394
142,Independence County,Arkansas,25,37264.0,0.0006708887934735938
143,Izard County,Arkansas,13,13559.0,0.0009587727708533077
144,Jackson County,Arkansas,1,17225.0,5.8055152394775034e-05
145,Jefferson County,Arkansas,491,70424.0,0.00697205498125639
146,Johnson County,Arkansas,35,26291.0,0.001331254041306911
147,Lafayette County,Arkansas,9,6915.0,0.0013015184381778742
148,Lawrence County,Arkansas,73,16669.0,0.0043793868858359826
149,Lee County,Arkansas,11,9398.0,0.0011704618003830602
150,Lincoln County,Arkansas,955,13695.0,0.06973347937203359
151,Little River County,Arkansas,1,12417.0,8.053475074494645e-05
152,Logan County,Arkansas,4,21757.0,0.00018384887622374408
153,Lonoke County,Arkansas,45,72206.0,0.0006232169071822286
154,Madison County,Arkansas,1,16076.0,6.220452848967405e-05
155,Marion County,Arkansas,1,16438.0,6.0834651417447376e-05
156,Miller County,Arkansas,42,43759.0,0.0009598025549029913
157,Mississippi County,Arkansas,61,42831.0,0.0014242020966122669
158,Monroe County,Arkansas,5,7249.0,0.0006897503103876397
159,Montgomery County,Arkansas,1,8993.0,0.00011119759813188036
160,Nevada County,Arkansas,4,8440.0,0.00047393364928909954
161,Newton County,Arkansas,3,7848.0,0.00038226299694189603
162,Ouachita County,Arkansas,10,24106.0,0.0004148344810420642
